scanno	logno	kind	range	cal	coil_type	loc	unit	unit_mul	ch_name	coord_frame
1	1	1	1	1	3024	[-0.0196336263,-0.0485949304,-0.065420239,-0.045694771,-0.72515657,-0.68706618,0.921684143,-0.295844322,0.250947161,0.374098369,0.625313294,-0.684860347]	112	0	P1	1
2	2	1	1	1	3024	[0.0780182408,-0.0566835699,-0.082679523,0.010022979,0.963457131,0.267674982,0.82547098,0.143106907,-0.546001899,-0.570229405,0.225403933,-0.789956639]	112	0	P8	1
3	3	1	1	1	3024	[0.114645377,-0.037250541,-0.057669641,0.000173291,0.999971001,0.007613612,0.416752487,0.006848708,-0.908994202,-0.906360357,0.003373852,-0.422492035]	112	0	TP10	1
4	4	1	1	1	3024	[0.0723264151,4.4287156399999995e-18,-0.019222794,0.401780539,0.915684523,-0.009708381,-0.00400413,-0.008844904,-0.999952866,-0.91563572,0.401870851,0.010537885]	112	0	C6	1
5	5	1	1	1	3024	[0.0917159426,-0.0298003162,-0.062469118,0.485683766,-0.084246934,-0.870065362,0.183461943,0.983000232,0.007229033,-0.856928558,0.150625717,-0.492935431]	112	0	TP8	1
6	6	1	1	1	3024	[-0.0237187629,0.0237187629,0.031742087,-0.963965389,0.265805386,0.010873198,-0.010450714,0.003003812,-0.999940878,0.265767298,0.964025081,-0.004835948]	112	0	FC1	1
7	7	1	1	1	3024	[-0.0237187629,-0.0237187629,-0.045902162,-0.077098714,-0.5538424,-0.829044259,-0.952135258,0.287592725,-0.103580285,0.299905806,0.780126337,-0.54905319]	112	0	CP1	1
8	8	1	1	1	3024	[-0.024109434,1.47627706e-18,-0.019212794,-0.912592708,0.408869844,-2.11e-05,-0.000897855,-0.001952474,0.999997691,0.408869698,0.912592337,-0.000892808]	112	0	C1	1
9	9	1	1	1	3024	[7.38254061e-18,-0.0602830189,-0.070255384,9.26e-06,0.707566716,0.706646547,0.999430837,-0.023844758,0.023862707,0.001993376,0.70664513,-0.707565323]	112	0	PZ1	1
10	10	1	1	1	3024	[-0.0723264151,4.4287156399999995e-18,-0.019212794,0.406789442,-0.913441625,-0.012113956,-0.005047926,0.011012881,-0.999926615,0.913396239,0.406917685,-0.0111941]	112	0	C5	1
11	11	1	1	1	3024	[2.95255411e-18,-0.024109434,-0.046685897,0.00714801,0.477390416,0.87866222,-0.999799198,0.019862016,-0.00265786,0.000877018,0.878681337,-0.477407937]	112	0	CPZ	1
12	12	1	1	1	3024	[0.0,0.0,-0.0152,0.00060314,-0.002288772,0.999997199,0.999177259,-0.040550227,-0.000695456,0.013990285,0.999899531,0.00228011]	112	0	CZ	1
13	13	1	1	1	3024	[0.024109434,1.47627706e-18,-0.019222794,-0.905566874,-0.424202637,0.000871665,0.024205855,-0.049621767,0.998474715,-0.424203525,0.905565316,-0.001681254]	112	0	C2	1
14	14	1	1	1	3024	[0.039579503,-0.0488766157,-0.019222794,-0.724235124,-0.689340865,-0.01710722,-0.012386104,-0.011800063,0.999853661,-0.689474315,0.724304512,0.00285359]	112	0	P4	1
15	15	1	1	1	3024	[0.0196336263,-0.0485949304,-0.065969089,0.022273537,-0.729847299,-0.683247254,-0.953836936,-0.220246222,0.204173214,-0.383746941,0.624824802,-0.679950183]	112	0	P2	1
16	16	1	1	1	3024	[0.0237187629,-0.0237187629,-0.045903285,-0.950857948,-0.289351032,0.110205006,-0.069906597,0.547360012,0.833972473,-0.301587212,0.784930174,-0.541229873]	112	0	CP2	1
17	17	1	1	1	3024	[-0.0298003162,-0.0917159426,-0.101339534,-0.001391792,-0.999990038,0.004241044,-0.951497427,1.95e-05,-0.307656701,0.335421525,-0.004462189,-0.942057583]	112	0	O1	1
18	18	1	1	1	3024	[-0.0303082027,-0.071401651,-0.099612666,-0.01350499,-0.971426333,-0.236956736,-0.943278363,0.090996775,-0.319289079,0.317283319,0.220568338,-0.922323644]	112	0	PO3	1
19	19	1	1	1	3024	[0.0237187629,0.0237187629,0.031742087,-0.007340004,0.003313839,0.999967571,-0.964737817,-0.263139483,-0.006209379,-0.261712613,0.965132271,-0.00511943]	112	0	FC2	1
20	20	1	1	1	3024	[-0.0462764495,0.0246056247,0.032275106,0.013874346,0.015524816,-0.999783218,-0.770805186,0.637070419,-0.000804191,0.641729144,0.76664897,0.020810167]	112	0	FC3	1
21	21	1	1	1	3024	[0.039579503,0.0488766157,0.064331736,0.416282755,0.473436112,-0.776251838,-0.706839672,-0.368501636,-0.603808101,-0.57141656,0.800299885,0.181667854]	112	0	F4	1
22	22	1	1	1	3024	[0.0462764495,0.0246056247,0.032275106,-0.761865674,-0.647727806,-0.003063373,-0.00236092,-0.001952448,0.999995307,-0.647734562,0.761862385,0.002375625]	112	0	FC4	1
23	23	1	1	1	3024	[-0.114645377,-0.037250541,-0.057745101,-0.00798002,0.99979666,-0.018519137,-0.441121825,-0.020140019,-0.897221219,0.903471122,-0.000728628,-0.428648341]	112	0	TP9	1
24	24	1	1	1	3024	[0.0482188679,2.95255411e-18,-0.057965785,0.188814253,-0.98197394,-0.008738422,-0.492466769,-0.08698551,-0.865973442,0.84471301,0.166946879,-0.508516145]	112	0	C4	1
25	25	1	1	1	3024	[-0.120545283,7.38126975e-18,-0.02032618,-0.000730045,0.999913454,0.013135925,-1.15e-05,0.01313592,-0.99991372,0.99999942,0.000740391,-0.000782701]	112	0	T9	1
26	26	1	1	1	3024	[-0.0964358491,5.90499269e-18,-0.02032618,-0.058028135,0.99828932,0.007153246,-0.000388052,0.007142764,-0.999974415,0.99821947,0.057921999,0.014245402]	112	0	T7	1
27	27	1	1	1	3024	[-0.0694795214,0.0266706894,0.034304771,-0.476448862,0.879202164,0.0001926,-0.005854227,-0.00295341,-0.999978502,0.879158773,0.476427502,-0.009833006]	112	0	FC5	1
28	28	1	1	1	3024	[-0.0917159426,0.0298003162,0.029216848,-0.334970805,0.9421922,-0.008271558,-0.002644493,0.007838578,0.999965781,0.909126441,0.325496732,0.259886499]	112	0	FT7	1
29	29	1	1	1	3024	[-0.114645377,0.037250541,0.029216848,-0.000240287,-0.999998936,-0.001438918,-0.000805585,-0.001438724,0.999998641,0.999944434,-0.000255438,0.010538661]	112	0	FT9	1
30	30	1	1	1	3024	[-0.0593329888,0.0515773803,0.074739042,0.605747389,-0.047584329,-0.794232858,-0.291679888,0.915436918,-0.277305051,0.745620978,0.382348504,0.545764582]	112	0	F5	1
31	31	1	1	1	3024	[-0.0694795214,-0.0266706894,-0.058569299,0.76338156,-0.62904667,0.146795371,-0.241977559,-0.489194585,-0.837935271,0.59458419,0.595486995,-0.540245204]	112	0	CP5	1
32	32	1	1	1	3024	[-0.0482188679,2.95255411e-18,-0.019212794,-0.72444018,0.689321797,0.004678213,-0.003401327,0.003212003,-0.999989057,0.689336931,0.724432671,0.003449871]	112	0	C3	1
33	33	1	1	1	3024	[0.120545283,7.38126975e-18,-0.02033618,-0.009533786,0.999699766,-0.022571773,0.000822966,-0.022564947,-0.99974504,-0.99995454,-0.009534889,5.87e-05]	112	0	T10	1
34	34	1	1	1	3024	[0.0964358491,5.90499269e-18,-0.02033618,-0.068559037,-0.997636298,0.004634237,-0.003434556,0.004881162,0.999982189,-0.997646981,0.06856015,8.14e-05]	112	0	T8	1
35	35	1	1	1	3024	[0.0694795214,0.0266706894,0.034304771,0.002830476,0.00398481,0.999988055,0.466224135,0.884653369,-0.00484487,-0.86644566,0.499271172,0.000462959]	112	0	FC6	1
36	36	1	1	1	3024	[0.0917159426,0.0298003162,0.029216848,0.20847012,0.978027442,-0.001590976,-0.000401794,-0.001541074,-0.999998732,-0.97801002,0.208475919,0.005847447]	112	0	FT8	1
37	37	1	1	1	3024	[0.0593329888,0.0515773803,0.074739042,-0.277493341,-0.912274925,0.301250571,-0.593861228,-0.083606062,-0.800211764,-0.761974243,0.399967198,0.509334363]	112	0	F6	1
38	38	1	1	1	3024	[0.114645377,0.037250541,0.029216848,-0.001473299,-0.001639185,0.999997571,-0.002345403,0.999995912,0.001635727,-0.999995774,-0.002503955,-0.0014774]	112	0	FT10	1
39	39	1	1	1	3024	[0.0780182408,0.0566835699,0.064299545,-0.000781406,0.999994123,0.003338035,0.469514999,-0.002580354,0.882920725,-0.879261465,-0.002277093,0.476334013]	112	0	F8	1
40	40	1	1	1	3024	[-0.0780182408,0.0566835699,0.064299545,0.482425142,-0.004373629,-0.875926283,-0.002010776,-0.999990429,0.003885644,0.875879808,-0.009038554,0.482444677]	112	0	F7	1
41	41	1	1	1	3024	[0.0298003162,-0.0917159426,-0.101153686,-0.012420172,0.999922581,-0.000756011,-0.945468573,-0.011497683,0.325510339,-0.325928035,-0.004763171,-0.945382583]	112	0	O2	1
42	42	1	1	1	3024	[0.0303082027,-0.071401651,-0.099758074,0.020559309,-0.970379442,-0.240709479,0.940223724,0.100626189,-0.325351684,-0.311568489,0.222552483,-0.923794062]	112	0	PO4	1
43	43	1	1	1	3024	[-0.0917159426,-0.0298003162,-0.084582619,-0.221870016,-0.794574686,-0.565176755,0.921045998,0.019484762,-0.388966083,-0.308873005,0.607045483,-0.73218389]	112	0	TP7	1
44	44	1	1	1	3024	[1.18099854e-17,-0.0964358491,-0.106027387,-0.003614328,-0.999562469,-0.029356548,0.999980738,-0.003760855,0.004937609,-0.001226789,0.02936115,-0.999568116]	112	0	OZ	1
45	45	1	1	1	3024	[8.857431269999999e-18,-0.0723264151,-0.105024931,-0.000649169,-0.963025386,-0.269409881,0.999972211,-0.002625974,0.00697721,-0.003516312,0.26941047,-0.963019021]	112	0	POZ	1
46	46	1	1	1	3024	[5.90510823e-18,-0.0482188679,-0.089473621,0.001391225,0.842971684,0.537956137,0.99999443,-0.002804893,0.00180912,0.000297635,0.537956285,-0.842972685]	112	0	PZ2	1
47	47	1	1	1	3024	[0.0566835699,-0.0780182408,-0.084835162,-0.000129003,-0.999892083,0.014690312,0.819097933,-0.008532806,-0.573590244,-0.574783632,-0.011947021,-0.818218213]	112	0	PO8	1
48	48	1	1	1	3024	[0.0,0.0964358491,0.1105,-0.016765935,0.99985515,-0.002929688,0.99985944,0.016766015,2.75e-06,0.010791996,0.003110892,0.999936926]	112	0	FpZ	1
49	49	1	1	1	3024	[-0.0196336263,0.0485949304,0.080169928,0.0184838,0.641681026,-0.766748857,0.971669808,-0.192250678,-0.137468039,0.257372611,0.737982757,0.623811502]	112	0	F1	1
50	50	1	1	1	3024	[0.0298003162,0.0917159426,0.10512061,-0.004088824,0.999991633,0.000127321,0.956297087,0.003872938,0.292371136,-0.299330411,-0.001345404,0.954148571]	112	0	Fp2	1
51	51	1	1	1	3024	[-0.0298003162,0.0917159426,0.10512061,-3.97e-05,0.999999768,-0.000679611,0.945677822,-0.000183396,-0.325105249,0.245140688,0.000668608,0.969487285]	112	0	Fp1	1
