scanno	logno	kind	range	cal	coil_type	loc	unit	unit_mul	ch_name	coord_frame
1	1	1	1	1	3024	[0.032674 0.055335 -0.065420 -0.045695 -0.725157 -0.687066 0.921684 -0.295844 0.250947 0.374098 0.625313 -0.684860]	112	0	P1	1
2	2	1	1	1	3024	[-0.060679 0.003713 -0.082680 0.010023 0.963457 0.267675 0.825471 0.143107 -0.546002 -0.570229 0.225404 -0.789957]	112	0	P8	1
3	3	1	1	1	3024	[-0.088170 -0.026000 -0.057670 0.000173 0.999971 0.007614 0.416752 0.006849 -0.908994 -0.906360 0.003374 -0.422492]	112	0	TP10	1
4	4	1	1	1	3024	[-0.082616 0.038118 -0.019223 0.401781 0.915685 -0.009708 -0.004004 -0.008845 -0.999953 -0.915636 0.401871 0.010538]	112	0	C6	1
5	5	1	1	1	3024	[-0.081358 0.009499 -0.062469 0.485684 -0.084247 -0.870065 0.183462 0.983000 0.007229 -0.856929 0.150626 -0.492935]	112	0	TP8	1
6	6	1	1	1	3024	[0.031234 0.091452 0.031742 -0.963965 0.265805 0.010873 -0.010451 0.003004 -0.999941 0.265767 0.964025 -0.004836]	112	0	FC1	1
7	7	1	1	1	3024	[0.031940 0.072071 -0.045902 -0.077099 -0.553842 -0.829044 -0.952135 0.287593 -0.103580 0.299906 0.780126 -0.549053]	112	0	CP1	1
8	8	1	1	1	3024	[0.038856 0.082289 -0.019213 -0.912593 0.408870 -0.000021 -0.000898 -0.001952 0.999998 0.408870 0.912592 -0.000893]	112	0	C1	1
9	9	1	1	1	3024	[0.000005 0.058834 -0.070255 0.000009 0.707567 0.706647 0.999431 -0.023845 0.023863 0.001993 0.706645 -0.707565]	112	0	PZ1	1
10	10	1	1	1	3024	[0.082634 0.038126 -0.019213 0.406789 -0.913442 -0.012114 -0.005048 0.011013 -0.999927 0.913396 0.406918 -0.011194]	112	0	C5	1
11	11	1	1	1	3024	[0.000005 0.078515 -0.046686 0.007148 0.477390 0.878662 -0.999799 0.019862 -0.002658 0.000877 0.878681 -0.477408]	112	0	CPZ	1
12	12	1	1	1	3024	[0.000005 0.091000 -0.015200 0.000603 -0.002289 0.999997 0.999177 -0.040550 -0.000695 0.013990 0.999900 0.002280]	112	0	CZ	1
13	13	1	1	1	3024	[-0.038971 0.082536 -0.019223 -0.905567 -0.424203 0.000872 0.024206 -0.049622 0.998475 -0.424204 0.905565 -0.001681]	112	0	C2	1
14	14	1	1	1	3024	[-0.062633 0.066189 -0.019223 -0.724235 -0.689341 -0.017107 -0.012386 -0.011800 0.999854 -0.689474 0.724305 0.002854]	112	0	P4	1
15	15	1	1	1	3024	[-0.032963 0.055840 -0.065969 0.022274 -0.729847 -0.683247 -0.953837 -0.220246 0.204173 -0.383747 0.624825 -0.679950]	112	0	P2	1
16	16	1	1	1	3024	[-0.031931 0.072074 -0.045903 -0.950858 -0.289351 0.110205 -0.069907 0.547360 0.833972 -0.301587 0.784930 -0.541230]	112	0	CP2	1
17	17	1	1	1	3024	[0.032289 -0.038000 -0.101340 -0.001392 -0.999990 0.004241 -0.951497 0.000019 -0.307657 0.335422 -0.004462 -0.942058]	112	0	O1	1
18	18	1	1	1	3024	[0.032010 0.000578 -0.099613 -0.013505 -0.971426 -0.236957 -0.943278 0.090997 -0.319289 0.317283 0.220568 -0.922324]	112	0	PO3	1
19	19	1	1	1	3024	[-0.031234 0.091452 0.031742 -0.007340 0.003314 0.999968 -0.964738 -0.263139 -0.006209 -0.261713 0.965132 -0.005119]	112	0	FC2	1
20	20	1	1	1	3024	[0.064369 0.071684 0.032275 0.013874 0.015525 -0.999783 -0.770805 0.637070 -0.000804 0.641729 0.766649 0.020810]	112	0	FC3	1
21	21	1	1	1	3024	[-0.059183 0.073105 0.064332 0.416283 0.473436 -0.776252 -0.706840 -0.368502 -0.603808 -0.571417 0.800300 0.181668]	112	0	F4	1
22	22	1	1	1	3024	[-0.064369 0.071684 0.032275 -0.761866 -0.647728 -0.003063 -0.002361 -0.001952 0.999995 -0.647735 0.761862 0.002376]	112	0	FC4	1
23	23	1	1	1	3024	[0.088355 -0.026000 -0.057745 -0.007980 0.999797 -0.018519 -0.441122 -0.020140 -0.897221 0.903471 -0.000729 -0.428648]	112	0	TP9	1
24	24	1	1	1	3024	[0.083910 0.009995 -0.057966 0.188814 -0.981974 -0.008738 -0.492467 -0.086986 -0.865973 0.844713 0.166947 -0.508516]	112	0	C4	1
25	25	1	1	1	3024	[0.091297 -0.017850 -0.020326 -0.000730 0.999913 0.013136 -0.000012 0.013136 -0.999914 0.999999 0.000740 -0.000783]	112	0	T9	1
26	26	1	1	1	3024	[0.090594 0.010131 -0.020326 -0.058028 0.998289 0.007153 -0.000388 0.007143 -0.999974 0.998219 0.057922 0.014245]	112	0	T7	1
