scanno	logno	kind	range	cal	coil_type	loc	unit	unit_mul	ch_name	coord_frame
1	1	1	1	1	3024	[0.1017 -0.0338 0.0058 0.063838 -0.027533 -0.99757999 0.32844201 0.944511 -0.005022 0.94236398 -0.32732701 0.069338]	112	0	P1	1
2	2	1	1	1	3024	[-1.70000009e-02 -9.71999988e-02 3.97000015e-02 -3.92999995e-04 -3.73100013e-01 -9.27790999e-01 9.90544975e-01 -1.27406001e-01 5.08720018e-02 -1.37187004e-01 -9.18999016e-01 3.69621992e-01]	112	0	P8	1
3	3	1	1	1	3024	[0.0866 -0.0639 0.0056 0.060123 -0.044814 -0.99718499 0.54185098 0.84046 -0.005067 0.83832002 -0.54001999 0.074814]	112	0	TP10	1
4	4	1	1	1	3024	[-0.0358 0.1048 0.075 -0.009056 0.769894 -0.63810802 -0.95550001 -0.194805 -0.22151799 -0.29485199 0.60770601 0.73739803]	112	0	C6	1
5	5	1	1	1	3024	[0.101 0.0044 0.041 0.34744701 0.00806 -0.93766499 0.038459 0.99900001 0.022797 0.93691099 -0.043982 0.34678999]	112	0	TP8	1
6	6	1	1	1	3024	[1.08300000e-01 -1.09999999e-03 6.80000009e-03 5.13920002e-02 -2.33000005e-03 -9.98676002e-01 6.04470000e-02 9.98170972e-01 8.18000000e-04 9.96846974e-01 -6.04089983e-02 5.14389984e-02]	112	0	FC1	1
7	7	1	1	1	3024	[9.99999975e-05 1.09300002e-01 7.71000013e-02 8.36000021e-04 7.61195004e-01 -6.48522973e-01 -9.99755025e-01 -1.37489997e-02 -1.73409991e-02 -2.21170001e-02 6.48379028e-01 7.60996997e-01]	112	0	CP1	1
8	8	1	1	1	3024	[0.0368 0.0752 0.0923 0.02992 0.89700699 -0.44100201 -0.95213097 0.15984499 0.26056999 0.30422401 0.41209501 0.85885102]	112	0	C1	1
9	9	1	1	1	3024	[0.0517 -0.0276 0.0928 0.86073601 0.026619 -0.50835598 0.107377 0.96666902 0.232427 0.49759901 -0.25464299 0.82918799]	112	0	PZ1	1
10	10	1	1	1	3024	[0.063 -0.0906 -0.0276 -0.021421 0.035808 -0.999129 0.80166799 0.59775501 0.004185 0.59738398 -0.80088103 -0.041511]	112	0	C5	1
11	11	1	1	1	3024	[0.0637 -0.0884 0.0062 0.055697 -0.070364 -0.995965 0.80040503 0.599455 0.002463 0.59686202 -0.79731297 0.089707]	112	0	CPZ	1
12	12	1	1	1	3024	[0.017 -0.1098 -0.0618 0.010438 -0.0182 -0.99978 0.98695999 0.160797 0.007441 0.16062599 -0.98681998 0.019642]	112	0	CZ	1
13	13	1	1	1	3024	[3.33000012e-02 -1.03399999e-01 6.30000001e-03 4.04869989e-02 -1.20269001e-01 -9.91914988e-01 9.48844016e-01 3.15746009e-01 4.48000006e-04 3.13140005e-01 -9.41191018e-01 1.26900002e-01]	112	0	C2	1
14	14	1	1	1	3024	[0.0757 -0.0798 -0.062 0.01585 -0.002403 -0.99987102 0.701325 0.71277899 0.009476 0.71266401 -0.70138502 0.012983]	112	0	P4	1
15	15	1	1	1	3024	[0.00000000e+00 -1.08599998e-01 7.00000022e-03 -1.38000003e-04 -1.66506007e-01 -9.86039996e-01 9.99832988e-01 1.80149991e-02 -3.19500011e-03 1.82959996e-02 -9.85876024e-01 1.66476995e-01]	112	0	P2	1
